building_age,office_ratio,floor_efficiency,value_per_sqft,land_value_ratio,lotarea,bldgarea,officearea,numfloors,assessland,assesstot,yearbuilt,transaction_count,deed_count,mortgage_count,mta_accessibility_proxy,business_density_proxy,construction_activity_proxy,commercial_ratio,distress_score,target_high_vacancy_risk,BBL
44.0,0.5506112063720339,18079.0,96.70888876597157,0.2130662319835278,47300.0,108474.0,59727.0,6.0,2235150.0,10490400.0,1981.0,0.0,,,,,0.526476997277975,1.0,0.0,0,40414800650
7.0,0.4168203996482819,43500.75,75.13318735883864,0.2264215888751204,112000.0,174003.0,72528.0,4.0,2960100.0,13073400.0,2018.0,0.0,,,,,0.5835386834505811,1.0,0.0,0,40414800780
40.0,1.0,10218.0,51.37257780387552,0.4031290184312044,79660.0,40872.0,40872.0,4.0,846450.0,2099700.0,1985.0,0.0,,,,,0.6481522816600999,1.0,0.0,0,40414801100
40.0,1.0,2448.0,106.25,0.3979238754325259,3800.0,2448.0,2448.0,1.0,103500.0,260100.0,1985.0,0.0,,,,,0.5156446620485966,1.0,0.0,0,40467400210
100.0,0.7,1500.0,97.2,0.1975308641975308,1600.0,1500.0,1050.0,1.0,28800.0,145800.0,1925.0,0.0,,,,,0.4149831290419185,0.7,0.0,1,40466300010
75.0,1.0,1000.0,67.5,0.2222222222222222,1166.0,1500.0,1500.0,1.5,22500.0,101250.0,1950.0,0.0,,,,,0.8175369219556414,1.0,0.0,0,40467600640
19.0,0.442010582010582,3436.3636363636365,77.95238095238095,0.1279780085522296,4935.0,18900.0,8354.0,5.5,188550.0,1473300.0,2006.0,0.0,,,,,0.5071263184442142,1.0,0.0,0,40611200410
80.0,0.7174571140262361,1186.8263473053892,56.98789101917255,0.7290836653386454,5551.0,1982.0,1422.0,1.67,82350.0,112950.0,1945.0,0.0,,,,,0.0198681807281634,0.7174571140262361,0.0,0,40610800210
85.0,0.4684763572679509,1370.4,83.14360770577933,0.631911532385466,7410.0,3426.0,1605.0,2.5,180000.0,284850.0,1940.0,0.0,,,,,0.2390571555676859,1.0,0.0,1,40477300180
20.0,0.7974549310710498,1886.0,75.87486744432661,0.3113207547169811,4950.0,5658.0,4512.0,3.0,133650.0,429300.0,2005.0,0.0,,,,,0.7912154738044922,1.0,0.0,0,40523700190
100.0,0.5532503457814661,2169.0,57.572614107883815,0.5315315315315315,7380.0,4338.0,2400.0,2.0,132750.0,249750.0,1925.0,0.0,,,,,0.9913117080684928,0.5532503457814661,0.0,1,40526700390
94.0,1.0,13542.0,77.79131590607001,0.2080307560871422,20122.0,13542.0,13542.0,1.0,219150.0,1053450.0,1931.0,0.0,,,,,0.9938549573697264,1.0,0.0,0,40602400360
6.0,1.0,3270.0,168.11926605504587,0.1688949522510232,10350.0,9810.0,9810.0,3.0,278550.0,1649250.0,2019.0,0.0,,,,,0.5962117144907257,1.0,0.0,0,40536500010
75.0,1.0,6496.5,135.45370584160702,0.163641012528765,12960.0,12993.0,12993.0,2.0,288000.0,1759950.0,1950.0,0.0,,,,,0.074919046856987,1.0,0.0,0,40532302100
56.0,1.0,1149.0,83.02872062663185,0.2617924528301887,2270.0,2298.0,2298.0,2.0,49950.0,190800.0,1969.0,0.0,,,,,0.5115873916283722,1.0,0.0,0,40491400060
